r,header-size
1,97
2,130
3,163
4,196
5,229
6,262
7,295
8,328
9,361
10,394
11,427
12,460
13,493
14,526
15,559
16,592
17,625
18,658
19,691
20,724
21,757
22,790
23,823
24,856
25,889
26,922
27,955
28,988
29,1021
30,1054
31,1087
32,1120
33,1153
34,1186
35,1219
36,1252
37,1285
38,1318
39,1351
40,1384
41,1417
42,1450
43,1483
44,1516
45,1549
46,1582
47,1615
48,1648
49,1681
50,1714
51,1747
52,1780
53,1813
54,1846
55,1879
56,1912
57,1945
58,1978
59,2011
60,2044
61,2077
62,2110
63,2143
64,2176
65,2209
66,2242
67,2275
68,2308
69,2341
70,2374
71,2407
72,2440
73,2473
74,2506
75,2539
76,2572
77,2605
78,2638
79,2671
80,2704
81,2737
82,2770
83,2803
84,2836
85,2869
86,2902
87,2935
88,2968
89,3001
90,3034
91,3067
92,3100
93,3133
94,3166
95,3199
96,3232
97,3265
98,3298
99,3331
100,3364
